Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",273799060.1,248751981.3,246159951.1,293664669.7,311110095.6,328555521.5,343093376.5,322740379.6,334370663.5,299479811.7,284941956.7,293664669.7,322740379.6,325647950.6,360538802.4,351816089.4,366353944.4,348908518.5,308202524.6,293664669.7,1708421661,747405279,771032976.3,511174109.8,211168252,468888709.3,376154197.8,302172281.6,244282194.3,196831827.4,157514825.3,163480457.7,586411147.6,563444578.3,558603444.5,581598830.1,592865992.6,678133343.3,693434784,752104715.1,792015252.6,877282603.3,1096635963,1102567756
Afghanistan,"Transport, storage and communication (ISIC I)",172965666.3,157142804.5,155505354.7,185515265.3,224866988.2,269840385.9,297948759.4,337300482.3,342922157,292327084.7,269840385.9,269840385.9,281083735.3,309192108.8,331678807.6,241732012.3,224866988.2,275462060.6,258597036.5,258597036.5,335301702,312796828.8,363263341.3,121671421.3,78855925.3,286496926,284605827.6,283113242.6,283416452,282784924.7,280227046.3,301901205.6,524278769.8,743672134.9,818820310.2,765497688.9,894744275.3,1206223894,1470354472,1735183262,2136033869,2351651724,2836948463,3143444423
Afghanistan,Other Activities (ISIC J-P),275384595.8,250192472.5,247585432.2,295365244.6,311774424.9,328183605.2,344592785.4,328183605.2,344592785.4,295365244.6,295365244.7,328183605.2,344592785.4,361001965.7,393820326.2,361001965.7,377411145.9,344592785.4,328183605.2,328183605.2,409414797.4,372465615.7,412306782.7,277734169.2,183867047.4,368822610.4,346289757.8,325590604.5,308084563.2,290570525.3,272190425.7,232380111.5,694427418.5,681748549.4,738428857,912705674.6,951318593.8,1075196907,1229129903,1505932666,1782476088,1962054978,2403030941,2472015484
Afghanistan,Total Value Added,6197988523,5980011697,5811080749,6297500801,6609107398,6951196036,7289612994,6779786827,7220037856,7135773775,6964642938,7153123603,7267237478,7548211069,7642718550,7571601596,7742551975,6717368240,6206186783,5883119235,5699597439,5076596285,5158557880,3870727114,3009056750,4511617221,4210707319,3961272326,3778000584,3621230040,3479636628,3282143634,5228037328,5620485729,5620111383,6195989370,6785825119,7977850037,8172777396,9515235966,9775673892,10613995230,12031228415,12798690016
Albania,Final consumption expenditure,2158410275,2245120436,2335274763,2427870667,2526716609,2628046726,2728271801,2848050411,2957089967,3052406273,3239403798,3309993039,3356880642,3544776823,3668450296,3687821127,3854363390,4014827244,3996775826,4218725213,4517946307,4257191685,5062890349,5022928666,5017104313,5273838938,6948125903,5399196597,5055854712,5227416345,5298690406,5366247526,5755762620,6261383895,6829156007,7204023317,7455078818,9072591714,10250572755,10359741103,10561107816,10733988691,10809026558,10916873059
Albania,Household consumption expenditure (including Non-profit institutions serving households),2047159246,2129367425,2214896964,2302777246,2396334920,2492656076,2587894685,2700429514,2805490975,2895950234,3067888131,3146026114,3184918323,3369479531,3480852674,3497823819,3657635440,3813204275,3805779399,4027818554,4323045774,3861721116,4756382634,4756544091,4663117680,4879643565,6240167271,4676580370,4339563149,4470789611,4588205327,4567079100,4915188413,5457735053,5969619997,6328686866,6625371181,8222220988,9341984142,9407727153,9564105747,9734083485,9804497059,9897666729
Albania,General government final consumption expenditure,144646919.5,150483293.6,156507863,162668787.8,169443663.4,176067754.1,182644630.4,191505043.7,197533404.8,203877578.8,220631616.4,216649096.2,224136234.1,231782672.8,244686038.1,247075550.2,256792899.4,264917240.5,256155696.1,262049826,273200882.4,422408053.2,374769425.8,342445702.8,410518052.5,448733393.3,738097978.2,707892464.5,693740493.7,729765604.9,695743398.9,766629759.1,809345384.9,794172714,852957146,875336451.5,846544613.4,906102562.9,983099318.2,1019854623,1060304581,1067211205,1072829191,1087158205
Albania,Gross capital formation,810531173.2,842583427.4,876103347.8,913148942.1,946546585,984877879,1033927128,1054192279,1109445072,1195649659,1115124780,1292780633,1486196280,1343164215,1172671904,1261499831,1302809593,1150226138,1186998989,1415038425,980927750.6,210447956.1,148434214.5,479568343.8,795163001.6,887238593.9,640077863.9,785112082.2,1048936573,1338413017,1790768946,2231406038,2331751133,2750347140,2825031603,2962116099,3346792906,3529343300,3669119104,3716121731,3438519393,3653680418,3358751581,3253026603
Albania,Gross fixed capital formation (including Acquisitions less disposals of valuables),839693640.8,873292937.9,907957301.8,945231869.8,982374832.2,1020425842,1066486556,1102793111,1143637897,1217374073,1219208198,1275413775,1464008795,1470401846,1527406556,1387558554,1453353709,1465607058,1443231377,1559371813,1547651219,234765939.1,165586291.2,534984103.9,887046809.2,989762082.6,1048850901,858712919.8,948885318,1230298004,1699221881,2117334030,2212549185,2609743707,2680610270,2810681720,3175692077,3348909798,3481539729,3515531327,3217800813,3409044569,3025119222,2929896144
Albania,Changes in inventories,-31896802.76,-33567227.05,-34822365.13,-35133558.09,-39090062.24,-38874819.87,-35867656.78,-52570470.78,-37713843.13,-24933217.15,-110322547.9,15479740.47,20104103.59,-134825048.4,-370795461.4,-133438783.7,-158954292,-329873114.7,-268506568.4,-152725237.9,-590614958.2,-25676511.78,-18110280.81,-58511572.33,-97016914.17,-108250982.6,-425872208.2,-78005942.79,101849325.9,109652223,91546920.85,114071784.6,119201722.9,140603257.2,144421147.7,151434378.6,171100842.6,180433516.3,187579389.5,201001269.5,222458671.1,246876232.1,339903548.9,329204247.6
