VariableCode,RegionCode,YearCode,AggValue
xr,BMU,1970,1.00000000000000000
xr,BMU,1971,0.99999999900000000
xr,BMU,1972,1.00000000000000000
xr,BMU,1973,1.00000000000000000
xr,BMU,1974,0.99999999950000000
xr,BMU,1975,0.99999999900000000
xr,BMU,1976,0.99999999900000000
xr,BMU,1977,0.99999999900000000
xr,BMU,1978,0.99999999900000000
xr,BMU,1979,0.99999999900000000
xr,BMU,1980,0.99999999900000000
xr,BMU,1981,0.99999999900000000
xr,BMU,1982,0.99999999900000000
xr,BMU,1983,0.99999999900000000
xr,BMU,1984,0.99999999958333300
xr,BMU,1985,1.00000000000000000
xr,BMU,1986,1.00000000000000000
xr,BMU,1987,1.00000000000000000
xr,BMU,1988,1.00000000000000000
xr,BMU,1989,1.00000000000000000
xr,BMU,1990,1.00000000000000000
xr,BMU,1991,1.00000000000000000
xr,DOM,1959,1.00000000000000000
xr,DOM,1960,1.00000000000000000
xr,DOM,1961,1.00000000000000000
xr,DOM,1962,1.00000000000000000
xr,DOM,1963,1.00000000000000000
xr,DOM,1964,1.00000000000000000
xr,DOM,1965,1.00000000000000000
xr,DOM,1966,1.00000000000000000
xr,DOM,1967,1.00000000000000000
xr,DOM,1968,1.00000000000000000
xr,DOM,1969,1.00000000000000000
xr,DOM,1970,1.00000000000000000
xr,DOM,1971,0.99999999900000000
xr,DOM,1972,1.00000000000000000
xr,DOM,1973,1.00000000000000000
xr,DOM,1974,0.99999999950000000
xr,DOM,1975,0.99999999900000000
xr,DOM,1976,0.99999999900000000
xr,DOM,1977,0.99999999900000000
xr,DOM,1978,0.99999999900000000
xr,DOM,1979,0.99999999900000000
xr,DOM,1980,0.99999999900000000
xr,DOM,1981,0.99999999900000000
xr,DOM,1982,0.99999999900000000
xr,DOM,1983,0.99999999900000000
xr,DOM,1984,0.99999999958333300
xr,DOM,1985,3.11260833333333000
xr,DOM,1986,2.90433333325000000
xr,DOM,1987,3.84475833333333000
xr,DOM,1988,6.11251666666667000
xr,DOM,1989,6.34000000000000000
xr,DOM,1990,8.52530000000000000
xr,DOM,1991,12.69242500000000000
xr,DOM,1992,12.77418333333330000
xr,DOM,1993,12.67578333333330000
xr,DOM,1994,13.16014166666670000
xr,DOM,1995,13.59735000000000000
xr,DOM,1996,13.77458333333330000
xr,DOM,1997,14.26547500000000000
xr,DOM,1998,15.26659166666670000
xr,DOM,1999,16.03308333333330000
xr,DOM,2000,16.41501666666670000
xr,DOM,2001,16.95161666666670000
xr,DOM,2002,18.60982500000000000
xr,DOM,2003,30.83070833333330000
xr,DOM,2004,42.11975000000000000
xr,DOM,2005,30.51063172887270000
xr,DOM,2006,33.25369246262590000
xr,DOM,2007,33.31186193542170000
xr,DOM,2008,34.87528291661090000
xr,DOM,2009,36.12170285170600000
xr,DOM,2010,37.30657898781040000
xr,DOM,2011,38.23155874819630000
xr,ECU,1950,1.00000000000000000
xr,ECU,1951,1.00000000000000000
xr,ECU,1952,1.00000000000000000
xr,ECU,1953,1.00000000000000000
xr,ECU,1954,1.00000000000000000
xr,ECU,1955,1.00000000000000000
xr,ECU,1956,1.00000000000000000
xr,ECU,1957,1.00000000000000000
xr,ECU,1958,1.00000000000000000
xr,ECU,1959,1.00000000000000000
xr,ECU,1960,1.00000000000000000
xr,ECU,1961,1.00000000000000000
xr,ECU,1962,1.00000000000000000
xr,ECU,1963,1.00000000000000000
xr,ECU,1964,1.00000000000000000
xr,ECU,1965,1.00000000000000000
xr,ECU,1966,1.00000000000000000
xr,ECU,1967,1.00000000000000000
xr,ECU,1968,1.00000000000000000
xr,ECU,1969,1.00000000000000000
xr,ECU,1970,1.00000000000000000
xr,ECU,1971,1.00000000000000000
xr,ECU,1972,1.00000000000000000
xr,ECU,1973,1.00000000000000000
xr,ECU,1974,1.00000000000000000
xr,ECU,1975,1.00000000000000000
xr,ECU,1976,1.00000000000000000
xr,ECU,1977,1.00000000000000000
xr,ECU,1978,1.00000000000000000
xr,ECU,1979,1.00000000000000000
xr,ECU,1980,1.00000000000000000
xr,ECU,1981,1.00000000000000000
xr,ECU,1982,1.00000000000000000
xr,ECU,1983,1.00000000000000000
xr,ECU,1984,1.00000000000000000
xr,ECU,1985,1.00000000000000000
xr,ECU,1986,1.00000000000000000
xr,ECU,1987,1.00000000000000000
xr,ECU,1988,1.00000000000000000
xr,ECU,1989,1.00000000000000000
xr,ECU,1990,1.00000000000000000
xr,ECU,1991,1.00000000000000000
xr,ECU,1992,1.00000000000000000
xr,ECU,1993,1.00000000000000000
xr,ECU,1994,1.00000000000000000
xr,ECU,1995,1.00000000000000000
xr,ECU,1996,1.00000000000000000
xr,ECU,1997,1.00000000000000000
xr,ECU,1998,1.00000000000000000
xr,ECU,1999,1.00000000000000000
xr,ECU,2000,1.00000000000000000
xr,ECU,2001,1.00000000000000000
xr,AUT,1950,1.44764279272572000
xr,AUT,1951,1.55301820109014000
xr,AUT,1952,1.55301820109014000
xr,AUT,1953,1.77394400744573000
xr,AUT,1954,1.88949369018117000
xr,AUT,1955,1.88949369018117000
xr,AUT,1956,1.88949369018117000
xr,AUT,1957,1.88949369018117000
xr,AUT,1958,1.88949369018117000
xr,AUT,1959,1.88949369018117000
xr,AUT,1960,1.88949369018117000
xr,AUT,1961,1.88949369018117000
xr,AUT,1962,1.88949369018117000
xr,AUT,1963,1.88949369018117000
xr,AUT,1964,1.88949369018117000
xr,AUT,1965,1.88949369018117000
xr,AUT,1966,1.88949369018117000
xr,AUT,1967,1.88949369018117000
xr,AUT,1968,1.88949369018117000
